AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-3.297780849374172,-1.2772876066365626,-6.7643980743020835,2.4841743498126405,-2.1170008712901267,1.4541548929619066,2.002625679008747,0.8751247406653404,-2.9554673372260982,0.22456764092233486,0.40981604497638024,2.737113917535598,1.291308358344436,1.9326657786715078
4.716684336650596,1.3843553326928693,9.3133536147559,0.8440410959170701,0.23508596067972887,-0.7866101631041289,2.2067815962824344,5.3634426443852545,3.767812245804242,2.9986895406163203,3.371513009980307,1.4113947680781942,4.257435369006423,2.6204353677073096
9.182742035311023,6.994567711135624,5.796874016151014,7.473947088003236,5.181999038500294,7.033895252078831,6.933208402608495,7.607448276083816,7.190031577456243,7.668316989406982,3.149100519300171,7.016646887563576,4.69871020705255,6.837350918572647
10.692467083256384,6.016205533044151,5.931879631217841,8.254873018003423,7.711034560793055,8.575067487677458,6.85330309846769,9.132326235750956,9.683991367326655,11.519553576922457,8.75267656045729,10.966620185332552,2.215977119314008,6.320877823323835
8.705312840352535,12.223133247536838,13.690099424885627,9.606834955101137,8.992786768396607,9.109475405285338,10.831669894669282,12.067213586778056,14.896792704368075,8.813455233496521,10.831647211129656,7.6660031278168335,12.370280963688147,13.24332183792863
11.140074749632971,11.408195872334023,11.180086987202351,8.450027981776952,17.084771682086593,13.833009084689081,13.28380162397395,10.918786785779826,12.029863092627878,11.32185790978879,13.11762429747708,12.108540934714599,10.202724145305265,12.27617337989682
13.724629837222489,15.5549334005268,17.407607656287496,11.95388288358312,17.557957227154855,13.087428683726756,12.427070103896044,12.686479171788989,11.367503570235105,16.857941044751538,11.687247624861374,14.040656689270486,10.60228451157323,17.82976971296913
15.944594952128968,19.664610364319252,12.271034684603586,16.34828463172392,12.158392807176108,17.61387314236289,18.14592015152127,12.954811445902424,12.84564248288951,14.482367302434746,17.533137728979263,17.40926230830799,18.002701294615004,15.187613119427489
16.02155077351255,16.80315758595991,13.302157421515119,15.964559546561642,14.184609874751766,16.035992535221165,19.188943818058355,17.0317024342199,17.095301143862336,19.521513161081057,17.919274510377374,17.957145559473194,17.097596547290063,14.672823862706526
13.739836178604753,20.471312314409467,13.659639458990071,20.586190765312885,16.058562379325835,21.49763339023375,18.458961103770843,17.465011055746142,10.30659251626575,18.25171721494817,16.409377376563565,17.951607171433203,14.878128240227205,17.854009033748763
16.885860671143167,19.213097679247696,16.18530176817177,15.118364999407037,16.670558272758548,14.301131353723092,17.62869743318808,14.536984144224103,10.487315677982728,18.169835995926356,16.51810809536328,14.618753939349267,22.813466508324606,17.077931048768995
